,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Lithuania,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Luxembourg,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Madagascar,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,12.92 447 ,10.242 623 , 16.791 304,,92.754 777 ,73.508 018 , 120.505 807,,... ,... , ...,,13.460 104 ,10.402 472 , 17.843 295,,91.135 734 ,70.433 107 , 120.813 464,,... ,... , ...,
Malawi,77.389 434 ,72.255 112 , 85.59 811,,74.230 049 ,69.305 333 , 82.10 361,,87.411 154 ,81.611 951 , 96.682 831,,80.364 235 ,74.915 449 , 88.696 022,,80.826 232 ,75.346 122 , 89.205 916,,89.331 087 ,83.274 339 , 98.592 515,,83.903 856 ,78.184 615 , 92.529 588,,87.249 989 ,81.302 661 , 96.21 972,,86.794 743 ,80.878 447 , 95.717 673,,86.935 605 ,80.956 163 , 96.00 316,,91.234 067 ,84.958 976 , 100.74 996,,89.448 612 ,83.296 325 , 98.778 278,,88.908 561 ,82.670 565 , 98.087 614,,91.004 193 ,84.619 164 , 100.399 602,,93.374 486 ,86.823 152 , 103.014 608,,90.021 697 ,83.4 623 , 99.080 262,,92.430 246 ,85.695 351 , 101.731 175,,94.805 133 ,87.897 193 , 104.345 038,
Malaysia,90.183 288 ,81.816 669 , 97.584 252,,31.918 422 ,28.957 238 , 34.537 833,,82.450 569 ,74.801 341 , 89.216 941,,91.724 568 ,83.758 149 , 99.106 545,,44.313 666 ,40.464 956 , 47.880 022,,94.001 318 ,85.837 159 , 101.566 528,,92.763 367 ,84.629 352 , 100.287 751,,46.427 583 ,42.356 551 , 50.193 498,,... ,... , ...,,93.035 813 ,84.95 991 , 100.654 154,,48.138 039 ,43.959 453 , 52.079 876,,96.817 594 ,88.413 417 , 104.74 561,,93.05 022 ,84.991 851 , 100.924 643,,50.005 274 ,45.674 699 , 54.236 996,,... ,... , ...,,91.958 211 ,83.881 999 , 99.576 233,,52.141 109 ,47.561 826 , 56.460 594,,84.742 729 ,77.300 215 , 91.763 005,
Maldives,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",50 ,28.571 429 , 64.285 714,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",90.90 909 ,53.719 008 , 115.702 478,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Mali,35.822 015 ,29.890 808 , 42.554 587,,70.351 317 ,58.702 943 , 83.573 502,,... ,... , ...,,37.900 157 ,31.615 798 , 45.369 329,,76.026 894 ,63.420 606 , 91.009 891,,... ,... , ...,,40.238 845 ,33.417 767 , 48.324 815,,79.574 954 ,66.085 824 , 95.565 491,,... ,... , ...,,42.657 836 ,35.165 058 , 51.217 116,,84.617 915 ,69.754 919 , 101.596 471,,... ,... , ...,,45.255 459 ,36.913 265 , 54.503 224,,89.369 971 ,72.895 901 , 107.632 353,,... ,... , ...,,48.587 009 ,39.294 002 , 59.206 085,,90.060 319 ,72.834 908 , 109.743 716,,... ,... , ...,
Malta,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Mauritania,41.708 763 ,35.196 248 , 49.600 821,,54.738 512 ,46.191 498 , 65.096 035,,... ,... , ...,,40.170 457 ,33.589 207 , 48.330 497,,65.354 088 ,54.646 927 , 78.629 814,,... ,... , ...,,39.284 323 ,32.831 868 , 47.774 863,,75.893 449 ,63.427 941 , 92.296 338,,... ,... , ...,,38.758 405 ,32.099 472 , 47.349 417,,79.143 361 ,65.546 043 , 96.685 919,,... ,... , ...,,38.836 846 ,31.74 634 , 48.162 103,,88.83 713 ,72.61 799 , 110.168 139,,... ,... , ...,,39.3 ,31.959 591 , 49.597 356,,95.358 681 ,77.547 697 , 120.344 489,,... ,... , ...,
Mauritius,... ,... , ...,,... ,... , ...,,... ,... , ...,,53.334 747 ,46.684 162 , 63.966 634,,37.196 819 ,32.558 556 , 44.611 729,,... ,... , ...,,55.275 906 ,48.290 745 , 66.289 176,,37.359 497 ,32.638 415 , 44.80 307,,... ,... , ...,,57.399 433 ,49.803 247 , 69.450 842,,36.431 839 ,31.610 484 , 44.080 956,,59.438 493 ,51.57 246 , 71.918 017,,59.634 761 ,51.222 805 , 71.414 003,,34.037 311 ,29.236 078 , 40.760 466,,67.821 159 ,58.254 446 , 81.217 404,,46.829 729 ,39.908 014 , 56.224 188,,45.281 327 ,38.588 475 , 54.365 162,,73.237 598 ,62.412 641 , 87.929 709,
Mexico,40.235 449 ,34.969 292 , 45.296 266,,100 ,86.91 165 , 112.578 006,,84.370 468 ,73.327 766 , 94.98 259,,43.813 303 ,38.054 468 , 49.297 287,,100 ,86.855 967 , 112.51 671,,86.008 694 ,74.703 683 , 96.774 153,,46.093 268 ,39.987 195 , 51.825 046,,100 ,86.752 788 , 112.435 174,,88.57 583 ,76.842 002 , 99.590 388,,51.42 135 ,44.596 592 , 57.802 707,,100 ,86.727 774 , 112.409 938,,89.101 697 ,77.275 919 , 100.159 162,,51.577 819 ,44.607 632 , 57.915 375,,100 ,86.486 077 , 112.287 367,,89.54 751 ,77.446 128 , 100.550 541,,54.649 558 ,47.275 591 , 61.544 883,,100 ,86.506 645 , 112.617 128,,89.547 626 ,77.464 798 , 100.846 161,
Mongolia,31.350 114 ,27.476 187 , 34.721 865,,87.591 241 ,76.767 609 , 97.011 809,,84 ,73.620 137 , 93.034 325,,34.222 222 ,30.115 555 , 37.872 592,,84.415 584 ,74.285 714 , 93.419 913,,70 ,61.6 , 77.466 667,,36.344 086 ,32.123 482 , 40.173 893,,88.757 396 ,78.450 085 , 98.110 326,,86.486 486 ,76.442 894 , 95.600 116,,38.204 593 ,33.817 844 , 42.112 787,,88.52 459 ,78.359 971 , 97.580 341,,76.851 852 ,68.027 527 , 84.713 524,,39.672 802 ,35.210 626 , 43.729 326,,84.536 082 ,75.027 934 , 93.179 853,,91.463 415 ,81.176 119 , 100.815 502,,41.439 689 ,36.924 859 , 45.551 409,,86.384 977 ,76.973 384 , 94.956 249,,89.784 946 ,80.002 929 , 98.693 569,
Montenegro,49.21 875 ,15.765 381 , 97.668 457,"Children estimates were not available at the time of publication.",62.698 413 ,20.083 085 , 124.417 163,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",57.509 158 ,18.748 407 , 108.909 285,"Children estimates were not available at the time of publication.",63.694 268 ,20.764 798 , 120.622 478,"Children estimates were not available at the time of publication.",90 ,29.340 659 , 170.43 956,"Children estimates were not available at the time of publication.",61.37 931 ,19.895 363 , 113.445 897,"Children estimates were not available at the time of publication.",69.101 124 ,22.398 295 , 127.71 794,"Children estimates were not available at the time of publication.",92.682 927 ,30.042 052 , 171.303 617,"Children estimates were not available at the time of publication.",63.636 364 ,19.834 711 , 114.256 199,"Children estimates were not available at the time of publication.",72.959 184 ,22.740 525 , 130.994 899,"Children estimates were not available at the time of publication.",92.307 692 ,28.771 229 , 165.734 265,"Children estimates were not available at the time of publication.",65.95 092 ,19.623 433 , 123.000 489,"Children estimates were not available at the time of publication.",74.418 605 ,22.142 959 , 138.792 981,"Children estimates were not available at the time of publication.",93.197 279 ,27.730 479 , 173.815 784,"Children estimates were not available at the time of publication.",66.27 907 ,18.881 828 , 126.97 066,"Children estimates were not available at the time of publication.",76.754 386 ,21.866 075 , 147.038 199,"Children estimates were not available at the time of publication.",96.666 667 ,27.53 876 , 185.184 109,"Children estimates were not available at the time of publication."
Morocco,53.283 161 ,46.756 851 , 60.12 526,,68.396 893 ,60.0 194 , 77.179 749,,86.990 191 ,76.335 325 , 98.160 615,,57.779 825 ,50.636 525 , 65.33 831,,74.027 423 ,64.875 438 , 83.711 342,,88.003 446 ,77.12 361 , 99.515 643,,62.652 453 ,54.615 008 , 70.910 645,,78.269 647 ,68.228 731 , 88.586 335,,89.001 474 ,77.583 813 , 100.732 719,,68.151 625 ,59.188 277 , 76.964 075,,84.431 449 ,73.326 967 , 95.348 986,,90.995 844 ,79.028 009 , 102.762 201,,70.633 681 ,61.381 405 , 80.241 578,,89.062 308 ,77.396 073 , 101.176 947,,91.996 688 ,79.94 608 , 104.510 474,,74.876 596 ,64.725 241 , 85.429 417,,91.020 687 ,78.680 606 , 103.848 794,,92.007 992 ,79.534 057 , 104.975 246,
Mozambique,51.872 508 ,42.06 149 , 64.679 515,,62.268 015 ,50.490 821 , 77.64 161,,... ,... , ...,,56.921 931 ,46.155 916 , 70.975 666,,66.395 319 ,53.837 541 , 82.787 985,,... ,... , ...,,61.921 871 ,50.210 185 , 77.210 065,,72.59 657 ,58.865 908 , 90.520 293,,... ,... , ...,,66.550 803 ,53.963 534 , 82.981 729,,73.860 507 ,59.890 697 , 92.096 148,,... ,... , ...,,70.22 159 ,56.940 239 , 87.55 912,,75.730 904 ,61.40 755 , 94.428 669,,75.36 236 ,61.108 711 , 93.969 133,,73.335 024 ,59.464 641 , 91.440 986,,84.079 883 ,68.177 247 , 104.838 683,,80.658 555 ,65.403 019 , 100.572 651,
Myanmar,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",92.062 294 ,84.013 095 , 100.129 546,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",94.650 298 ,86.399 854 , 103.100 665,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",94.650 298 ,86.597 636 , 103.468 347,"Estimates were not available at the time of publication."
Namibia,76.99 654 ,71.450 694 , 85.924 082,,83.106 737 ,77.12 079 , 92.74 274,,96.002 444 ,89.087 655 , 107.13 367,,78.70 781 ,72.962 374 , 88.025 809,,71.798 385 ,66.557 317 , 80.298 396,,88.999 836 ,82.503 113 , 99.536 279,,81.067 339 ,75.28 259 , 90.499 898,,82.046 335 ,76.191 728 , 91.592 805,,88.999 429 ,82.648 668 , 99.354 924,,83.195 397 ,77.364 114 , 92.646 988,,86.290 417 ,80.2 422 , 96.093 625,,93.999 467 ,87.410 912 , 104.678 478,,84.705 137 ,78.891 047 , 94.459 611,,92.94 149 ,86.562 063 , 103.644 445,,90.969 146 ,84.725 099 , 101.44 497,,86.765 552 ,80.791 638 , 97.024 305,,94.281 667 ,87.79 026 , 105.42 909,,89.090 684 ,82.956 682 , 99.624 349,
Nepal,... ,... , ...,,... ,... , ...,,... ,... , ...,,74.726 935 ,68.258 848 , 81.369 557,,57.786 358 ,52.784 585 , 62.9 231,,... ,... , ...,,78.637 516 ,71.571 942 , 85.751 595,,62.070 769 ,56.493 716 , 67.686 108,,90.697 674 ,82.548 496 , 98.902 796,,80.596 107 ,73.089 927 , 88.254 807,,67.446 541 ,61.165 023 , 73.855 695,,... ,... , ...,,85.8 452 ,77.910 405 , 94.102 594,,69.480 071 ,63.057 928 , 76.163 314,,86.10 589 ,78.146 999 , 94.388 359,,79.894 079 ,72.384 892 , 87.836 586,,78.084 818 ,70.745 682 , 85.847 461,,90.897 858 ,82.354 434 , 99.934 284,
Netherlands,86.224 572 ,76.64 975 , 95.757 521,"Children estimates were not available at the time of publication.",91.270 338 ,81.135 208 , 101.361 145,"Children estimates were not available at the time of publication.",100 ,87.346 435 , 109.120 748,"Children estimates were not available at the time of publication.",86.965 517 ,77.61 384 , 97.161 474,"Children estimates were not available at the time of publication.",92.722 504 ,82.75 176 , 103.593 418,"Children estimates were not available at the time of publication.",100 ,87.918 491 , 110.061 429,"Children estimates were not available at the time of publication.",88.694 468 ,79.066 695 , 99.377 022,"Children estimates were not available at the time of publication.",93.484 938 ,83.33 716 , 104.744 466,"Children estimates were not available at the time of publication.",100 ,88.000 517 , 110.605 728,"Children estimates were not available at the time of publication.",90.140 845 ,79.867 009 , 101.033 078,"Children estimates were not available at the time of publication.",94.101 707 ,83.376 431 , 105.472 554,"Children estimates were not available at the time of publication.",100 ,87.499 031 , 110.687 712,"Children estimates were not available at the time of publication.",92.179 321 ,81.048 053 , 103.668 892,"Children estimates were not available at the time of publication.",93.551 108 ,82.254 187 , 105.211 663,"Children estimates were not available at the time of publication.",100 ,86.860 995 , 111.10 425,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
New Zealand,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",93.718 344 ,78.210 992 , 106.828 424,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",94.846 477 ,79.14 775 , 108.437 505,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",96.517 427 ,80.413 414 , 110.808 405,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",100 ,83.236 004 , 114.065 462,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",100 ,84.038 528 , 115.411 077,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Nicaragua,66.629 446 ,50.973 811 , 86.323 873,,49.676 802 ,38.004 457 , 64.360 342,,60.380 623 ,46.193 247 , 78.228 014,,76.934 866 ,59.390 179 , 99.243 029,,48.545 817 ,37.475 139 , 62.622 244,,57.570 978 ,44.442 148 , 74.264 356,,85.258 202 ,64.862 463 , 109.680 406,,48.438 309 ,36.850 742 , 62.313 458,,73.190 985 ,55.682 004 , 94.156 536,,93.177 966 ,69.580 778 , 119.94 689,,49.90 147 ,37.263 993 , 64.23 757,,75.478 194 ,56.363 448 , 97.162 184,,100 ,74.266 339 , 130.501 045,,50.777 763 ,37.567 961 , 66.014 539,,79.089 027 ,58.514 068 , 102.821 104,,82.369 074 ,61.413 745 , 107.939 309,,61.756 778 ,46.045 376 , 80.928 237,,... ,... , ...,
Niger,44.494 349 ,39.675 884 , 49.74 437,,72.501 455 ,64.649 991 , 81.056 117,,... ,... , ...,,47.487 287 ,42.480 483 , 53.026 087,,83.004 978 ,74.253 381 , 92.686 474,,... ,... , ...,,52.201 129 ,46.7 337 , 58.236 658,,100 ,87.863 265 , 109.489 787,,93.799 759 ,83.975 384 , 104.644 948,,56.989 675 ,51.048 703 , 63.286 536,,94.178 357 ,84.360 597 , 104.584 242,,86.506 024 ,77.488 077 , 96.064 183,,60.610 806 ,54.588 103 , 67.206 613,,91.526 392 ,82.431 705 , 101.486 503,,71.702 638 ,64.577 775 , 79.505 483,,64.036 273 ,57.495 139 , 70.747 235,,91.366 964 ,82.034 074 , 100.942 166,,78.48 966 ,70.472 152 , 86.715 328,
Nigeria,54.159 558 ,40.78 292 , 72.141 357,,66.499 045 ,50.07 473 , 88.577 742,,... ,... , ...,,57.491 794 ,43.292 422 , 76.580 443,,70.002 382 ,52.713 134 , 93.244 845,,... ,... , ...,,59.747 501 ,44.990 957 , 79.585 001,,71.295 063 ,53.686 482 , 94.96 661,,... ,... , ...,,61.690 055 ,46.453 679 , 82.172 426,,72.513 855 ,54.604 188 , 96.58 995,,78.774 002 ,59.318 187 , 104.928 595,,65.521 611 ,49.339 138 , 87.276 546,,79.925 656 ,60.185 684 , 106.463 121,,75.343 674 ,56.735 357 , 100.359 798,,78.855 856 ,59.379 952 , 105.037 851,,92.548 458 ,69.69 074 , 123.276 719,,83.681 899 ,63.014 053 , 111.466 254,
North Macedonia,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Norway,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",79.964 902 ,69.11 269 , 91.308 271,"Children estimates were not available at the time of publication.",97.988 296 ,84.690 089 , 111.888 361,"Children estimates were not available at the time of publication.",100 ,85.158 059 , 112.506 621,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",100 ,83.923 413 , 113.979 572,"Children estimates were not available at the time of publication."
Oman,... ,... , ...,"Estimates were not available at the time of publication.",50.042 918 ,45.7 717 , 53.859 751,"Estimates were not available at the time of publication.",73.756 432 ,67.46 124 , 79.381 923,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",63.714 286 ,58.343 024 , 68.826 246,"Estimates were not available at the time of publication.",83.856 502 ,76.787 204 , 90.584 524,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",71.722 846 ,65.816 259 , 77.830 338,"Estimates were not available at the time of publication.",85.248 042 ,78.227 615 , 92.507 259,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",82.868 142 ,75.821 228 , 90.093 459,"Estimates were not available at the time of publication.",87.066 975 ,79.663 002 , 94.65 839,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",86.28 821 ,79.015 729 , 93.962 239,"Estimates were not available at the time of publication.",90.283 401 ,82.6 742 , 98.312 742,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",89.271 417 ,81.824 745 , 97.826 225,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Pakistan,10.752 299 ,10.086 844 , 11.341 117,,42.697 625 ,40.055 088 , 45.035 833,,... ,... , ...,,12.099 217 ,11.360 207 , 12.719 341,,47.842 037 ,44.919 884 , 50.294 098,,... ,... , ...,,13.414 185 ,12.654 671 , 14.094 666,,54.383 243 ,51.304 051 , 57.142 022,,... ,... , ...,,18.037 328 ,17.068 266 , 18.901 255,,48.928 307 ,46.299 615 , 51.271 807,,... ,... , ...,,20.865 755 ,19.820 941 , 21.84 293,,53.449 411 ,50.773 031 , 55.952 529,,... ,... , ...,,21.70 129 ,20.644 143 , 22.612 025,,48.88 466 ,46.503 315 , 50.936 195,,... ,... , ...,
Panama,65.902 981 ,59.116 245 , 71.753 748,"Children estimates were not available at the time of publication.",57.768 712 ,51.819 649 , 62.897 331,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",67.041 344 ,60.259 242 , 73.323 556,"Children estimates were not available at the time of publication.",64.873 838 ,58.311 007 , 70.95 294,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",69.057 583 ,61.923 913 , 75.766 891,"Children estimates were not available at the time of publication.",68.395 213 ,61.329 966 , 75.040 168,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",70.685 042 ,63.098 773 , 77.968 003,"Children estimates were not available at the time of publication.",74.225 111 ,66.258 904 , 81.872 819,"Children estimates were not available at the time of publication.",73.263 067 ,65.400 112 , 80.811 652,"Children estimates were not available at the time of publication.",69.742 799 ,61.979 789 , 77.317 696,"Children estimates were not available at the time of publication.",81.146 409 ,72.114 073 , 89.959 874,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",58.257 747 ,51.621 637 , 65.095 032,"Children estimates were not available at the time of publication.",94.878 685 ,84.071 103 , 106.013 902,"Children estimates were not available at the time of publication.",100 ,92.601 896 , 116.771 256,"Children estimates were not available at the time of publication."
Papua New Guinea,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",81.091 954 ,55.967 853 , 104.317 978,"Children estimates were not available at the time of publication.",70.008 376 ,48.318 216 , 90.059 887,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",69.424 622 ,47.924 088 , 89.324 569,"Children estimates were not available at the time of publication.",84.509 776 ,58.337 429 , 108.733 747,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",74.517 393 ,51.358 891 , 95.767 384,"Children estimates were not available at the time of publication.",83.892 273 ,57.820 248 , 107.815 681,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Paraguay,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,100 ,73.153 755 , 137.049 861,,61.888 178 ,45.87 865 , 85.951 332,,83.613 818 ,61.984 199 , 116.124 262,
Peru,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,68.084 485 ,58.535 613 , 75.904 634,,84.503 314 ,72.651 696 , 94.209 322,,... ,... , ...,,82.441 754 ,70.749 026 , 91.699 392,,79.808 497 ,68.489 245 , 88.770 438,,... ,... , ...,,84.926 807 ,72.349 082 , 94.929 235,,87.343 809 ,74.408 124 , 97.630 904,,... ,... , ...,,91.994 732 ,77.899 991 , 102.65 214,,83.209 978 ,70.461 171 , 92.849 689,,... ,... , ...,
